Country,Warnings,date,isHeatWave,isHeatWaveCat
Democratic Republic of the Congo,"['Yes', 'No', ""Jusque la le système n'est pas encore appliqué""]",09/29/2023,0,No
Denmark,"['Cold wave', 'Fog', 'Freezing rain', 'Hail', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tsunami', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', '6 hours - 5 days, dependent on type', 'Yes', 'Yes', 'Yes', 'Yes', 'No', '100000']",09/29/2023,1,Yes
Djibouti,"['Dust storm/Sandstorm', 'Rain/Wet Spell', 'Wind', 'Yes', 'Yes', 'Yes', '6HEURES', 'Yes', 'Yes', 'Yes']",09/26/2023,0,No
Dominica,"['Drought/Dry spell', 'Flood', 'Hail', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Volcanic ash', 'Wind', 'No', 'No', 'No', '36 and 48 hours for', 'No', 'No', 'No', '70, 000']",09/29/2023,0,No
Dominican Republic,"['Extra-tropical cyclone', 'Flood', 'Fog', 'Hail', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Icing', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Tropical cyclone', 'Tsunami', 'Yes', 'No', 'Yes', 'Depende el tipo de eventos, puede ser 6 horas, 48 horas y hasta 120 horas', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'N/A']",09/29/2023,0,No
Ecuador,"['Biomass burning plumes', 'Cold wave', 'Drought/Dry spell', 'Frost', 'Heat wave', 'High UV radiation', 'Rain/Wet Spell', 'Space weather event', 'Tsunami', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Uncounting']",09/29/2023,1,Yes
Egypt,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'Yes', 'days or 6', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/26/2023,1,Yes
El Salvador,"['Biomass burning plumes', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Yes', 'No', 'Yes', '72 horas', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '54 062']",09/29/2023,1,Yes
Eritrea,[0],09/27/2023,2,Unknown
Estonia,"['Cold wave', 'Flood', 'Fog', 'Freezing rain', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Yes', 'Yes', '2 days', 'Yes', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Eswatini,[0],09/29/2023,2,Unknown
Ethiopia,[0],09/29/2023,2,Unknown
Fiji,[0],09/29/2023,2,Unknown
Finland,"['Biomass burning plumes', 'Extra-tropical cyclone', 'Flood', 'Frost', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Space weather event', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Yes', 'Yes', 'Yes', '5 days', 'No', 'Yes', 'Yes', 'No', 'I would say 100,000 (100). There are a plenty of different distribution channels: www-pages, radio, mobile apps, social media, traditional media etc..']",09/27/2023,1,Yes
France,"['Avalanche', 'Cold wave', 'Drought/Dry spell', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Landslide/Mudslide & Debris flow', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Yes', 'Yes', 'Yes', '24h', 'No', 'No', '90000']",09/27/2023,1,Yes
French Polynesia,[0],09/29/2023,2,Unknown
Gabon,"['Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'non établi']",09/29/2023,0,No
Gambia,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'All']",09/29/2023,0,No
Georgia,[0],09/27/2023,2,Unknown
Germany,"['Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Tornado', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', '90000']",09/27/2023,1,Yes
Ghana,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'people who have assess to smartphones immediately receive while others wait for the radio and television dessemination']",09/27/2023,0,No
Greece,"['Cold wave', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Yes', 'No', 'Yes', 'FROM LESS THAN 24 HOURS TO 2 DAYS', 'Yes', 'Yes', 'No', 'No']",09/27/2023,1,Yes
Guatemala,"['Dust storm/Sandstorm', 'Flood', 'Landslide/Mudslide & Debris flow', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Space weather event', 'Tropical cyclone', 'Tsunami', 'Volcanic ash', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Aún no contabilizado']",09/29/2023,0,No
Guinea,"['Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'ND']",09/29/2023,0,No
Guinea Bissau,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Plus ou moins 50.000']",09/29/2023,1,Yes
Guyana,"['Drought/Dry spell', 'Flood', 'Fog', 'Heat wave', 'High Seas/Rogue waves etc.', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'No data']",09/27/2023,1,Yes
Haiti,[0],09/29/2023,2,Unknown
Honduras,[0],09/29/2023,2,Unknown
"Hong Kong, China","['Cold wave', 'Dust storm/Sandstorm', 'Flood', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Yes', 'Yes', 'Yes', 'Different maximum lead times for different warnings, e.g. about one hour for thunderstorm warning, a couple of hours for rainstorm warning, 12 hours or more for TC warning (strong or gale wind signals), etc', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Nearly 100,000']",09/26/2023,1,Yes
Hungary,"['Cold wave', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High UV radiation', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Volcanic ash', 'Yes', 'Yes', 'Yes', 'Warnings: 0.5-3 Hours Outlooks: 12 Hours - 4 days', 'Yes', 'Yes', 'Yes', 'Yes', 'No', '100,000']",09/27/2023,1,Yes
Iceland,[0],09/29/2023,2,Unknown
India,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Yes', 'Yes', 'Yes', '5 days warning and outlook for subsequent 2 days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Approx 9000']",09/29/2023,1,Yes
Indonesia,[0],09/29/2023,2,Unknown
Iran (Islamic Republic of),[0],09/29/2023,2,Unknown
Iraq,"['Dust storm/Sandstorm', 'Fog', 'Hail', 'Heat wave', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Ireland,"['Cold wave', 'Fog', 'Freezing rain', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'Yes', 'Yes', '2-days', 'Yes', 'Yes', 'No', 'No', '100000']",09/26/2023,1,Yes
Israel,[0],09/29/2023,2,Unknown
Italy,"['Cold wave', 'Fog', 'Freezing rain', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Space weather event', 'Thunderstorms/Squall lines', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', 'depending on the phenomena considered from 2 hours (aerodrome weather warnings) to 24-48h', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '600']",09/29/2023,1,Yes
Jamaica,"['Drought/Dry spell', 'Flood', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Yes', 'No', 'Yes', '2-days', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Over 80,000']",09/29/2023,0,No
Japan,"['Avalanche', 'Cold wave', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Landslide/Mudslide & Debris flow', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/29/2023,1,Yes
Jordan,[0],09/27/2023,2,Unknown
Kazakhstan,[0],09/26/2023,2,Unknown
Kenya,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Frost', 'Hail', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '10,000']",09/29/2023,0,No
Kiribati,[0],09/26/2023,2,Unknown
Kuwait,[0],09/26/2023,2,Unknown
Kyrgyzstan,[0],09/29/2023,2,Unknown
Lao People's Democratic Republic,"['Drought/Dry spell', 'Flood', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/27/2023,0,No
Latvia,[0],09/26/2023,2,Unknown
Lebanon,[0],09/29/2023,2,Unknown
Lesotho,"['No', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/29/2023,0,No
